PRINCIPLE COMMODITY,COUNTRY,UNIT,QUANTITY,Value(US$ million)
COTTON RAW INCLD. WASTE                           ,AUSTRALIA,TON,29085,66.39
COTTON RAW INCLD. WASTE                           ,AUSTRIA,TON,0,0
COTTON RAW INCLD. WASTE                           ,BANGLADESH PR,TON,48503,19.15
COTTON RAW INCLD. WASTE                           ,BELGIUM,TON,2,0
COTTON RAW INCLD. WASTE                           ,BELIZE,TON,0,0
COTTON RAW INCLD. WASTE                           ,BENIN,TON,214,0.25
COTTON RAW INCLD. WASTE                           ,BRAZIL,TON,2960,5.96
COTTON RAW INCLD. WASTE                           ,BURKINA FASO,TON,128,0.26
COTTON RAW INCLD. WASTE                           ,C AFRI REP,TON,0,0
COTTON RAW INCLD. WASTE                           ,CAMEROON,TON,3819,8.06
COTTON RAW INCLD. WASTE                           ,CHAD,TON,60,0.13
COTTON RAW INCLD. WASTE                           ,CHINA P RP,TON,377,0.88
COTTON RAW INCLD. WASTE                           ,COTE D' IVOIRE,TON,1790,4.08
COTTON RAW INCLD. WASTE                           ,EGYPT A RP,TON,43913,155.18
COTTON RAW INCLD. WASTE                           ,FRANCE,TON,0,0
COTTON RAW INCLD. WASTE                           ,GERMANY,TON,3272,9.42
COTTON RAW INCLD. WASTE                           ,GREECE,TON,4634,12.33
COTTON RAW INCLD. WASTE                           ,GUINEA,TON,0,0
COTTON RAW INCLD. WASTE                           ,HONG KONG,TON,0,0
COTTON RAW INCLD. WASTE                           ,INDONESIA,TON,198,0.27
COTTON RAW INCLD. WASTE                           ,ISRAEL,TON,4152,14.09
COTTON RAW INCLD. WASTE                           ,ITALY,TON,140,1.14
COTTON RAW INCLD. WASTE                           ,JAPAN,TON,26,0.12
COTTON RAW INCLD. WASTE                           ,KYRGHYZSTAN,TON,0,0
COTTON RAW INCLD. WASTE                           ,MALAWI,TON,0,0
COTTON RAW INCLD. WASTE                           ,MALI,TON,3134,7.8
COTTON RAW INCLD. WASTE                           ,MAURITANIA,TON,0,0
COTTON RAW INCLD. WASTE                           ,MAURITIUS,TON,358,0.06
COTTON RAW INCLD. WASTE                           ,MEXICO,TON,404,0.93
COTTON RAW INCLD. WASTE                           ,MOZAMBIQUE,TON,0,0
COTTON RAW INCLD. WASTE                           ,NETHERLAND,TON,476,0.87
COTTON RAW INCLD. WASTE                           ,NIGERIA,TON,84,0.13
COTTON RAW INCLD. WASTE                           ,OMAN,TON,22,0.02
COTTON RAW INCLD. WASTE                           ,PHILIPPINES,TON,0,0
COTTON RAW INCLD. WASTE                           ,SENEGAL,TON,102,0.21
COTTON RAW INCLD. WASTE                           ,SINGAPORE,TON,1454,2.7
COTTON RAW INCLD. WASTE                           ,SPAIN,TON,68,0.21
COTTON RAW INCLD. WASTE                           ,SRI LANKA DSR,TON,1,0
COTTON RAW INCLD. WASTE                           ,SUDAN,TON,55,0.14
COTTON RAW INCLD. WASTE                           ,SWITZERLAND,TON,2442,5.6
